2026/08/29 22:45:19.327, 378406, 14
2026/08/29 22:45:19.394, 378406, 620
2026/08/29 22:45:19.461, 378406, 744
2026/08/29 22:45:19.529, 378406, 744
2026/08/29 22:45:19.596, 378406, 744
2026/08/29 22:45:19.662, 378406, 744
2026/08/29 22:45:19.727, 378406, 744
2026/08/29 22:45:19.794, 378406, 744
2026/08/29 22:45:19.862, 378406, 744
2026/08/29 22:45:19.928, 378406, 744
2026/08/29 22:45:19.993, 378406, 744
2026/08/29 22:45:20.058, 378406, 744
2026/08/29 22:45:20.123, 378406, 744
2026/08/29 22:45:20.188, 378406, 744
2026/08/29 22:45:20.253, 378406, 766
2026/08/29 22:45:20.318, 378406, 1666
2026/08/29 22:45:20.383, 378406, 1666
2026/08/29 22:45:20.448, 378406, 1666
2026/08/29 22:45:20.514, 378406, 3576
2026/08/29 22:45:20.582, 378406, 3576
2026/08/29 22:45:20.649, 378406, 3576
2026/08/29 22:45:20.715, 378406, 3576
2026/08/29 22:45:20.781, 378406, 3576
2026/08/29 22:45:20.846, 378406, 3576
2026/08/29 22:45:20.911, 378406, 3576
2026/08/29 22:45:20.976, 378406, 5608
2026/08/29 22:45:21.041, 378406, 6878
2026/08/29 22:45:21.106, 378406, 6878
2026/08/29 22:45:21.173, 378406, 6878
2026/08/29 22:45:21.241, 378406, 6878
2026/08/29 22:45:21.307, 378406, 6878
2026/08/29 22:45:21.373, 378406, 6878
2026/08/29 22:45:21.439, 378406, 6878
2026/08/29 22:45:21.506, 378406, 6878
2026/08/29 22:45:21.571, 378406, 6878
2026/08/29 22:45:21.637, 378406, 6878
2026/08/29 22:45:21.703, 378406, 6878
2026/08/29 22:45:21.769, 378406, 6878
2026/08/29 22:45:21.834, 378406, 6878
2026/08/29 22:45:21.899, 378406, 6878
2026/08/29 22:45:21.964, 378406, 6878
2026/08/29 22:45:22.030, 378406, 5260
2026/08/29 22:45:22.097, 378406, 5260
2026/08/29 22:45:22.163, 378406, 5296
2026/08/29 22:45:22.230, 378406, 5296
2026/08/29 22:45:22.298, 378406, 5296
2026/08/29 22:45:22.365, 378406, 5296
2026/08/29 22:45:22.430, 378406, 5296
2026/08/29 22:45:22.495, 378406, 5296
2026/08/29 22:45:22.560, 378406, 5296
