comparison,rep,left_req_s,right_req_s,change_percent
pr_vs_base_mps_off,1,0.9327344474233557,1.7743886892817884,90.23514079312407
pr_vs_base_mps_off,2,0.9551147192385078,1.7850110670574595,86.88970351965783
pr_vs_base_mps_off,3,0.94697947418177,1.7768959065851386,87.63827041979462
pr_vs_base_mps_off,4,0.9249719530543661,1.7808078515969323,92.52560531338227
pr_vs_base_mps_off,5,0.9464835003106584,1.7846835507550465,88.55939381608565
pr_vs_base_mps_off,6,0.9662490981648223,1.770692369194691,83.25423253255624
pr_vs_base_mps_on,1,0.8911233888467569,2.1136265136145957,137.18673980153696
pr_vs_base_mps_on,2,0.9562225269032508,2.2291790815496597,133.12346434348382
pr_vs_base_mps_on,3,0.9286155264567141,2.0722542642155726,123.15524618919534
pr_vs_base_mps_on,4,0.9320331943453817,2.091838940378284,124.43824458929255
pr_vs_base_mps_on,5,0.9021211962397647,2.1485594137201427,138.16749042986692
pr_vs_base_mps_on,6,0.9401144608345644,2.1284860567411226,126.40711800684454
mps_on_vs_off_base,1,0.9327344474233557,0.8911233888467569,-4.461190287497985
mps_on_vs_off_base,2,0.9551147192385078,0.9562225269032508,0.1159868696847477
mps_on_vs_off_base,3,0.94697947418177,0.9286155264567141,-1.9392128579051926
mps_on_vs_off_base,4,0.9249719530543661,0.9320331943453817,0.7634005839526781
mps_on_vs_off_base,5,0.9464835003106584,0.9021211962397647,-4.687065760399722
mps_on_vs_off_base,6,0.9662490981648223,0.9401144608345644,-2.704751536627037
mps_on_vs_off_pr,1,1.7743886892817884,2.1136265136145957,19.11857454806698
mps_on_vs_off_pr,2,1.7850110670574595,2.2291790815496597,24.883207879735924
mps_on_vs_off_pr,3,1.7768959065851386,2.0722542642155726,16.62215307806394
mps_on_vs_off_pr,4,1.7808078515969323,2.091838940378284,17.465729865377444
mps_on_vs_off_pr,5,1.7846835507550465,2.1485594137201427,20.38881698725532
mps_on_vs_off_pr,6,1.770692369194691,2.1284860567411226,20.20642850057324
