comparison,rep,left_req_s,right_req_s,change_percent
pr_vs_base_mps_off,1,1.1483264916479432,1.1477870365562466,-0.046977501226364016
pr_vs_base_mps_off,2,1.1417163718977583,1.1446382880325,0.25592311774287335
pr_vs_base_mps_off,3,1.146052682862543,1.1481419650008535,0.18230245167194514
pr_vs_base_mps_off,4,1.1484442487194935,1.1485906746487407,0.012749937962630575
pr_vs_base_mps_off,5,1.1378452601233897,1.150529255004391,1.1147381217395003
pr_vs_base_mps_off,6,1.1454985391632624,1.1506915585247488,0.4533414215682541
pr_vs_base_mps_on,1,1.4844007462618583,1.4856229935293834,0.08233944038380514
pr_vs_base_mps_on,2,1.48317824669131,1.4861327193094351,0.19919875609799575
pr_vs_base_mps_on,3,1.484914182707132,1.473283336851002,-0.7832672077335623
pr_vs_base_mps_on,4,1.483951758840563,1.473748857123492,-0.6875494204099164
pr_vs_base_mps_on,5,1.4839724348175416,1.4852499296565371,0.08608615692733412
pr_vs_base_mps_on,6,1.4843612339225716,1.4846609789381502,0.020193535692558662
mps_on_vs_off_base,1,1.1483264916479432,1.4844007462618583,29.266437468634976
mps_on_vs_off_base,2,1.1417163718977583,1.48317824669131,29.90776721770001
mps_on_vs_off_base,3,1.146052682862543,1.484914182707132,29.567707044513924
mps_on_vs_off_base,4,1.1484442487194935,1.483951758840563,29.21408770997442
mps_on_vs_off_base,5,1.1378452601233897,1.4839724348175416,30.41952951112328
mps_on_vs_off_base,6,1.1454985391632624,1.4843612339225716,29.582114963396975
mps_on_vs_off_pr,1,1.1477870365562466,1.4856229935293834,29.433679438196148
mps_on_vs_off_pr,2,1.1446382880325,1.4861327193094351,29.83426597269645
mps_on_vs_off_pr,3,1.1481419650008535,1.473283336851002,28.31891715149588
mps_on_vs_off_pr,4,1.1485906746487407,1.473748857123492,28.309317640437094
mps_on_vs_off_pr,5,1.150529255004391,1.4852499296565371,29.092756502820837
mps_on_vs_off_pr,6,1.1506915585247488,1.4846609789381502,29.02336581330005
