concurrency,pr1_r1,pr1_r2,pr1_r3,pr1_r4,pr1_r5,pr1_r6,gpu_resize_r1,gpu_resize_r2,gpu_resize_r3,gpu_resize_r4,gpu_resize_r5,gpu_resize_r6,paired_percent_change_r1,paired_percent_change_r2,paired_percent_change_r3,paired_percent_change_r4,paired_percent_change_r5,paired_percent_change_r6
8,0.8810844856454106,0.8802613703948445,0.8794821054717593,0.8815891649500496,0.8756462919973337,0.8811456238046083,0.8938527167862421,0.8843574276361619,0.8939011875940346,0.8944103208180336,0.8789921624546818,0.8859547243170861,1.4491494685073825,0.46532284376854527,1.6394969303600293,1.4543232128664485,0.382102966451936,0.5457781758834823
16,0.8819734651135177,0.8813196093555693,0.8867149750132703,0.8843083825345758,0.8786415032695408,0.882119264947513,0.8763632271766246,0.8772718191326537,0.8853717047791104,0.8808337341290661,0.8727848067909985,0.8796318158105749,-0.636100535765094,-0.4592874344274911,-0.15148838939365028,-0.3929227036784111,-0.6665626944264313,-0.28198558129054474
32,0.8837819805495628,0.8861005150737701,0.8842628515022215,0.8848272211849564,0.8847338246995944,0.8833294700721706,0.8764587947271515,0.8781341816747218,0.8738723396933106,0.8754561868464579,0.8696011496239106,0.8757332260813985,-0.8286190467311383,-0.8990327015423349,-1.1750478708066447,-1.0590807011959802,-1.710421219717928,-0.8599559109186528
