platform,concurrency,rep,base_requests_per_second,head_requests_per_second,head_vs_base_percent
a100,8,1,0.8292579504267994,0.8814505560400994,6.293892700870418
a100,8,2,0.8333741672894248,0.8776997889424734,5.318813972506375
a100,8,3,0.8270808644241527,0.8823072678149572,6.677267697307365
a100,8,4,0.8312892679369271,0.8795852994824018,5.809774456169103
a100,8,5,0.8270958950310663,0.877814070910777,6.132079264860302
a100,8,6,0.8429579457882005,0.875292042896248,3.835790061604283
a100,16,1,0.8397723692950477,0.8861747995211221,5.5255962118671675
a100,16,2,0.8476070536932335,0.8809772621065821,3.936990409405672
a100,16,3,0.8420406411699085,0.8810152801394283,4.6285935694706515
a100,16,4,0.8362503538823994,0.881637493399952,5.427458333122015
a100,16,5,0.841762420899724,0.885304330766851,5.172707736297721
a100,16,6,0.8346994481521477,0.8778181452647371,5.165775203044087
a100,32,1,0.8548733844898225,0.881945901589726,3.1668452417734416
a100,32,2,0.85052307619282,0.8837059336616221,3.901464686571221
a100,32,3,0.8434552863830943,0.8848571232441129,4.908598894264804
a100,32,4,0.84434417565151,0.8826258709951255,4.5338970111420185
a100,32,5,0.8561038555033097,0.8842275676257632,3.2850818205834686
a100,32,6,0.8431508437524178,0.8807552726379932,4.459988288479688
rtx-pro-6000,8,1,0.9594245100415548,1.7381769280718817,81.16870164142433
rtx-pro-6000,8,2,0.9597016665737049,1.744695139503363,81.7955725483124
rtx-pro-6000,8,3,0.9478991355929031,1.7550990752820566,85.15673338854315
rtx-pro-6000,8,4,0.9574212448207143,1.7258859385346323,80.26401104749037
rtx-pro-6000,8,5,0.9489098385957322,1.7499524425063109,84.41714600578085
rtx-pro-6000,8,6,0.9670821716464818,1.7636681996215569,82.37004582752957
rtx-pro-6000,16,1,0.9616524961509004,1.7630499252574823,83.33544937638557
rtx-pro-6000,16,2,0.9609360134677056,1.7701613122963027,84.21219389086751
rtx-pro-6000,16,3,0.9532544438337043,1.7656576419938843,85.22417109255083
rtx-pro-6000,16,4,0.9497079359400611,1.753615229939767,84.64784420317227
rtx-pro-6000,16,5,0.9438254249751551,1.7708832692972611,87.62826497748534
rtx-pro-6000,16,6,0.964335266324844,1.7611834311868606,82.63185975753706
rtx-pro-6000,32,1,0.9540859826482039,1.7791866661656632,86.48074686384899
rtx-pro-6000,32,2,0.962871883179701,1.7740964893085072,84.25052390665843
rtx-pro-6000,32,3,0.9553484162375637,1.7871339686208894,87.06619891192533
rtx-pro-6000,32,4,0.9676321494996666,1.7681569909214507,82.73028566028024
rtx-pro-6000,32,5,0.9577449768648084,1.775126897067895,85.34442257048403
rtx-pro-6000,32,6,0.9614347503975876,1.777760157804267,84.90700040424997
